region,price,construction_area,saleable_area
跑馬地半山,"售 1,480 萬",建築面積 : --,實用面積: 629呎@23529
九龍灣,售 750 萬,建築面積 : 603呎@12437,實用面積: 538呎@13941
柴灣,售 418 萬,建築面積 : --,實用面積: 316呎@13228
元朗,"售 1,118 萬",建築面積 : --,實用面積: 702呎@15926
元朗,售 638 萬,建築面積 : 544呎@11728,實用面積: 422呎@15118
荃灣,售 780 萬,建築面積 : 671呎@11624,實用面積: 582呎@13402
荃灣,"售 1,330 萬",建築面積 : --,實用面積: 728呎@18269
西貢,售 550 萬,建築面積 : 450呎@12222,實用面積: 450呎@12222
灣仔,售 908 萬,建築面積 : --,實用面積: 422呎@21517
將軍澳,售 650 萬,建築面積 : 511呎@12720,實用面積: 375呎@17333
觀塘,"售 1,398 萬",建築面積 : 2626呎@5323,實用面積: --
大埔,售 590 萬,建築面積 : 517呎@11412,實用面積: 371呎@15903
沙田,"售 1,290 萬",建築面積 : 1355呎@9520,實用面積: 1102呎@11706
北角,售 418 萬,建築面積 : 362呎@11546,實用面積: 246呎@16992
大埔,售 818 萬,建築面積 : 665呎@12301,實用面積: 522呎@15670
大埔,售 800 萬,建築面積 : 665呎@12030,實用面積: 522呎@15326
筲箕灣,售 718 萬,建築面積 : --,實用面積: 449呎@15991
紅磡,售 858 萬,建築面積 : --,實用面積: 474呎@18101
紅磡,"售 1,588 萬",建築面積 : --,實用面積: 774呎@20517
上環,售 990 萬,建築面積 : 531呎@18644,實用面積: 401呎@24688
大埔,售 598 萬,建築面積 : 480呎@12458,實用面積: 355呎@16845
將軍澳,售 688 萬,建築面積 : 595呎@11563,實用面積: 441呎@15601
荃灣,售 545 萬,建築面積 : 529呎@10302,實用面積: 417呎@13070
觀塘,售 913 萬,建築面積 : 1406呎@6493,實用面積: --
太子,售 610 萬,建築面積 : --,實用面積: 324呎@18827
大埔,售 590 萬,建築面積 : 583呎@10120,實用面積: 440呎@13409
奧運,"售 1,230 萬",建築面積 : 729呎@16872,實用面積: 551呎@22323
奧運,售 980 萬,建築面積 : --,實用面積: 457呎@21444
奧運,"售 1,280 萬",建築面積 : --,實用面積: 596呎@21477
奧運,"售 1,080 萬",建築面積 : 739呎@14614,實用面積: 559呎@19320
荔枝角,"售 1,180 萬",建築面積 : 784呎@15051,實用面積: 588呎@20068
深水埗,售 648 萬,建築面積 : --,實用面積: 272呎@23824
深水埗,售 850 萬,建築面積 : --,實用面積: 357呎@23810
大埔,售 628 萬,建築面積 : 585呎@10735,實用面積: 440呎@14273
大埔,售 690 萬,建築面積 : 677呎@10192,實用面積: 561呎@12299
沙田,售 638 萬,建築面積 : 535呎@11925,實用面積: 421呎@15154
屯門,售 380 萬,建築面積 : --,實用面積: 263呎@14449
大埔,"售 1,158 萬",建築面積 : --,實用面積: 1027呎@11276
鑽石山,售 520 萬,建築面積 : --,實用面積: 353呎@14731
鰂魚涌,售 418 萬,建築面積 : 450呎@9289,實用面積: 330呎@12667
元朗,售 700 萬,建築面積 : --,實用面積: 583呎@12007
長沙灣,售 420 萬,建築面積 : --,實用面積: 297呎@14141
鰂魚涌,售 680 萬,建築面積 : 474呎@14346,實用面積: 391呎@17391
黃竹坑,售 420 萬,建築面積 : --,實用面積: 335呎@12537
大圍,售 638 萬,建築面積 : 542呎@11771,實用面積: 484呎@13182
荃灣,售 285 萬,建築面積 : --,實用面積: 391呎@7289
將軍澳,售 608 萬,建築面積 : 504呎@12063,實用面積: 431呎@14107
灣仔,售 528 萬,建築面積 : 440呎@12000,實用面積: 233呎@22661
大圍,售 438 萬,建築面積 : 417呎@10503,實用面積: 266呎@16466
深水埗,售 920 萬,建築面積 : --,實用面積: 601呎@15308
沙田,售 350 萬,建築面積 : 711呎@4923,實用面積: 554呎@6318
馬鞍山,售 388 萬,建築面積 : --,實用面積: 544呎@7132
何文田,售 715 萬,建築面積 : --,實用面積: 467呎@15310
九龍塘,"售 16,800 萬",建築面積 : --,實用面積: 4913呎@34195
荃灣,售 977 萬,建築面積 : --,實用面積: 689呎@14180
大圍,售 535 萬,建築面積 : --,實用面積: 390呎@13718
屯門,售 495 萬,建築面積 : 531呎@9322,實用面積: 396呎@12500
大埔,售 500 萬,建築面積 : 710呎@7042,實用面積: 554呎@9025
跑馬地,售 880 萬,建築面積 : --,實用面積: 258呎@34109
上水,售 665 萬,建築面積 : --,實用面積: 373呎@17828
上水,售 475 萬,建築面積 : 402呎@11816,實用面積: 312呎@15224
馬鞍山,"售 1,280 萬",建築面積 : 1078呎@11874,實用面積: 819呎@15629
馬鞍山,售 780 萬,建築面積 : --,實用面積: 511呎@15264
馬鞍山,"售 1,000 萬",建築面積 : 906呎@11038,實用面積: 733呎@13643
大埔,售 719 萬,建築面積 : --,實用面積: 565呎@12726
東涌,售 655 萬,建築面積 : 608呎@10773,實用面積: 446呎@14686
大埔,"售 1,050 萬",建築面積 : --,實用面積: 924呎@11364
元朗,售 528 萬,建築面積 : 700呎@7542,實用面積: --
屯門,售 598 萬,建築面積 : 626呎@9553,實用面積: 436呎@13716
元朗,售 770 萬,建築面積 : --,實用面積: 445呎@17303
屯門,售 640 萬,建築面積 : --,實用面積: 485呎@13196
屯門,售 478 萬,建築面積 : 567呎@8430,實用面積: 429呎@11142
元朗,售 375 萬,建築面積 : 408呎@9191,實用面積: 325呎@11538
土瓜灣,售 900 萬,建築面積 : 687呎@13100,實用面積: 520呎@17308
將軍澳,售 710 萬,建築面積 : --,實用面積: 499呎@14228
堅尼地城,售 938 萬,建築面積 : --,實用面積: 482呎@19461
元朗,售 708 萬,建築面積 : 573呎@12356,實用面積: 435呎@16276
屯門,售 400 萬,建築面積 : --,實用面積: 464呎@8621
馬鞍山,售 950 萬,建築面積 : 901呎@10544,實用面積: 727呎@13067
屯門,售 250 萬,建築面積 : 320呎@7812,實用面積: --
馬鞍山,售 760 萬,建築面積 : 635呎@11969,實用面積: 465呎@16344
馬鞍山,售 660 萬,建築面積 : 609呎@10837,實用面積: 482呎@13693
元朗,售 640 萬,建築面積 : 735呎@8707,實用面積: 566呎@11307
馬鞍山,售 968 萬,建築面積 : 901呎@10743,實用面積: 727呎@13315
沙田,售 650 萬,建築面積 : 789呎@8238,實用面積: 595呎@10924
西灣河,"售 3,248 萬",建築面積 : 1531呎@21214,實用面積: 1129呎@28769
土瓜灣,售 668 萬,建築面積 : 501呎@13333,實用面積: 361呎@18504
青衣,售 718 萬,建築面積 : --,實用面積: 546呎@13150
深井(屯門),售 938 萬,建築面積 : 963呎@9740,實用面積: 733呎@12797
筲箕灣,售 518 萬,建築面積 : 422呎@12274,實用面積: 367呎@14114
天后,"售 1,550 萬",建築面積 : 1212呎@12789,實用面積: 932呎@16631
將軍澳,"售 1,078 萬",建築面積 : --,實用面積: 609呎@17701
火炭,"售 2,150 萬",建築面積 : 1569呎@13702,實用面積: 1223呎@17580
火炭,"售 1,070 萬",建築面積 : 892呎@11995,實用面積: 696呎@15374
火炭,"售 1,400 萬",建築面積 : 1146呎@12216,實用面積: 891呎@15713
火炭,"售 2,600 萬",建築面積 : 1835呎@14168,實用面積: 1426呎@18233
大埔,"售 1,800 萬",建築面積 : --,實用面積: 1229呎@14646
大埔,"售 1,330 萬",建築面積 : 1466呎@9072,實用面積: 1166呎@11407
大埔,售 710 萬,建築面積 : --,實用面積: 463呎@15335
大埔,"售 1,050 萬",建築面積 : --,實用面積: 788呎@13325
大圍,"售 1,250 萬",建築面積 : 953呎@13116,實用面積: 720呎@17361
火炭,"售 1,398 萬",建築面積 : 888呎@15743,實用面積: 680呎@20559
馬鞍山,售 970 萬,建築面積 : 901呎@10766,實用面積: 727呎@13343
將軍澳,售 938 萬,建築面積 : 732呎@12814,實用面積: 526呎@17833
何文田,"售 1,680 萬",建築面積 : --,實用面積: 994呎@16901
沙田,"售 2,050 萬",建築面積 : --,實用面積: 1507呎@13603
沙田,"售 1,180 萬",建築面積 : --,實用面積: 963呎@12253
太子,售 450 萬,建築面積 : --,實用面積: 443呎@10158
火炭,"售 2,130 萬",建築面積 : 1300呎@16385,實用面積: 1012呎@21047
大埔,"售 2,380 萬",建築面積 : --,實用面積: 1612呎@14764
大埔,"售 1,268 萬",建築面積 : --,實用面積: 851呎@14900
沙田,"售 1,288 萬",建築面積 : 1355呎@9505,實用面積: 1134呎@11358
啟德,"售 1,000 萬",建築面積 : --,實用面積: 461呎@21692
深井(荃灣),售 798 萬,建築面積 : 851呎@9377,實用面積: 653呎@12221
清水灣,售 550 萬,建築面積 : 490呎@11224,實用面積: --
沙田,售 650 萬,建築面積 : 789呎@8238,實用面積: 595呎@10924
大圍,售 560 萬,建築面積 : 416呎@13462,實用面積: 314呎@17834
馬鞍山,售 670 萬,建築面積 : 666呎@10060,實用面積: 501呎@13373
沙田,售 468 萬,建築面積 : 509呎@9194,實用面積: 384呎@12188
元朗,售 668 萬,建築面積 : 593呎@11265,實用面積: 466呎@14335
元朗,售 540 萬,建築面積 : --,實用面積: 443呎@12190
火炭,"售 2,000 萬",建築面積 : --,實用面積: 1006呎@19881
大圍,售 988 萬,建築面積 : 663呎@14901,實用面積: 507呎@19487
銅鑼灣,"售 1,680 萬",建築面積 : --,實用面積: 1018呎@16503
大角咀,售 699 萬,建築面積 : 515呎@13572,實用面積: 369呎@18943
觀塘,售 510 萬,建築面積 : 887呎@5750,實用面積: --
屯門,售 445 萬,建築面積 : 555呎@8018,實用面積: 462呎@9632
深井(荃灣),"售 1,400 萬",建築面積 : 1883呎@7435,實用面積: 1381呎@10138
清水灣,"售 1,350 萬",建築面積 : 1400呎@9642,實用面積: 1260呎@10714
大圍,售 450 萬,建築面積 : 418呎@10765,實用面積: 270呎@16667
灣仔,售 980 萬,建築面積 : 542呎@18081,實用面積: 397呎@24685
荃灣,售 998 萬,建築面積 : --,實用面積: 716呎@13939
西貢,售 680 萬,建築面積 : 700呎@9714,實用面積: 630呎@10794
大圍,售 468 萬,建築面積 : 377呎@12414,實用面積: 308呎@15195
馬鞍山,售 530 萬,建築面積 : 700呎@7571,實用面積: 650呎@8154
沙田,售 745 萬,建築面積 : 682呎@10923,實用面積: 473呎@15751
荃灣,售 648 萬,建築面積 : 544呎@11912,實用面積: 435呎@14897
馬鞍山,售 780 萬,建築面積 : --,實用面積: 511呎@15264
葵涌,"售 1,654 萬",建築面積 : 1438呎@11500,實用面積: 935呎@17687
馬鞍山,售 810 萬,建築面積 : --,實用面積: 511呎@15851
黃埔,"售 1,200 萬",建築面積 : 973呎@12333,實用面積: 853呎@14068
黃埔,"售 1,000 萬",建築面積 : 743呎@13459,實用面積: 647呎@15456
大埔,售 518 萬,建築面積 : 454呎@11410,實用面積: 342呎@15146
將軍澳,售 778 萬,建築面積 : --,實用面積: 497呎@15654
紅磡,售 858 萬,建築面積 : 597呎@14371,實用面積: 453呎@18940
馬鞍山,"售 1,198 萬",建築面積 : 1068呎@11217,實用面積: 874呎@13707
沙田,"售 1,128 萬",建築面積 : 1245呎@9060,實用面積: 919呎@12274
大埔,售 790 萬,建築面積 : 827呎@9553,實用面積: 608呎@12993
大埔,售 540 萬,建築面積 : 700呎@7714,實用面積: 650呎@8308
太古城,售 940 萬,建築面積 : 585呎@16068,實用面積: 489呎@19223
太古城,"售 1,088 萬",建築面積 : 675呎@16119,實用面積: 582呎@18694
沙田,售 998 萬,建築面積 : 753呎@13254,實用面積: 641呎@15569
元朗,售 528 萬,建築面積 : --,實用面積: 446呎@11839
大埔,"售 1,460 萬",建築面積 : 1376呎@10610,實用面積: 1114呎@13106
天水圍,售 565 萬,建築面積 : 653呎@8652,實用面積: 489呎@11554
油塘,售 876 萬,建築面積 : --,實用面積: 374呎@23422
天水圍,售 638 萬,建築面積 : 724呎@8812,實用面積: 547呎@11664
元朗,售 520 萬,建築面積 : 580呎@8966,實用面積: 446呎@11659
馬鞍山,售 710 萬,建築面積 : 606呎@11716,實用面積: 452呎@15708
馬鞍山,"售 1,050 萬",建築面積 : 976呎@10758,實用面積: 746呎@14075
大圍,售 599 萬,建築面積 : 619呎@9677,實用面積: 504呎@11885
元朗,售 445 萬,建築面積 : --,實用面積: 346呎@12861
馬鞍山,售 830 萬,建築面積 : 730呎@11369,實用面積: 552呎@15036
馬鞍山,售 830 萬,建築面積 : 730呎@11369,實用面積: 552呎@15036
大埔,售 750 萬,建築面積 : 690呎@10869,實用面積: 544呎@13787
馬灣,售 630 萬,建築面積 : 653呎@9648,實用面積: 490呎@12857
沙田,售 699 萬,建築面積 : --,實用面積: 548呎@12755
馬鞍山,售 418 萬,建築面積 : --,實用面積: 598呎@6990
沙田,售 730 萬,建築面積 : 549呎@13296,實用面積: 417呎@17506
沙田,售 728 萬,建築面積 : 826呎@8813,實用面積: 650呎@11200
九龍塘,售 880 萬,建築面積 : 615呎@14309,實用面積: 531呎@16573
馬鞍山,售 750 萬,建築面積 : 683呎@10980,實用面積: 506呎@14822
沙田,售 800 萬,建築面積 : 718呎@11142,實用面積: 547呎@14625
葵涌,售 790 萬,建築面積 : --,實用面積: 582呎@13574
大埔,售 568 萬,建築面積 : --,實用面積: 700呎@8114
鰂魚涌,"售 1,018 萬",建築面積 : --,實用面積: 573呎@17766
屯門,"售 1,000 萬",建築面積 : 1480呎@6757,實用面積: 1350呎@7407
大埔,售 680 萬,建築面積 : 530呎@12830,實用面積: 397呎@17128
觀塘,售 510 萬,建築面積 : 887呎@5749,實用面積: --
元朗,售 605 萬,建築面積 : 669呎@9043,實用面積: 488呎@12398
葵涌,"售 1,351 萬",建築面積 : 932呎@14495,實用面積: --
火炭,"售 1,399 萬",建築面積 : 3676呎@3805,實用面積: --
長沙灣,售 489 萬,建築面積 : --,實用面積: 310呎@15774
新蒲崗,"售 1,628 萬",建築面積 : 1133呎@14368,實用面積: 890呎@18292
屯門,售 498 萬,建築面積 : 599呎@8314,實用面積: 451呎@11042
火炭,"售 1,500 萬",建築面積 : --,實用面積: 764呎@19634
大埔,"售 2,400 萬",建築面積 : --,實用面積: 1583呎@15161
將軍澳,"售 1,328 萬",建築面積 : --,實用面積: 764呎@17382
葵涌,售 225 萬,建築面積 : 687呎@3275,實用面積: --
西半山,"售 1,650 萬",建築面積 : --,實用面積: 646呎@25542
東涌,售 760 萬,建築面積 : 822呎@9246,實用面積: 607呎@12521
沙田,售 570 萬,建築面積 : --,實用面積: 307呎@18567
灣仔,售 480 萬,建築面積 : --,實用面積: 248呎@19355
柴灣,售 595 萬,建築面積 : 1320呎@4507,實用面積: --
東涌,售 870 萬,建築面積 : --,實用面積: 749呎@11615
東涌,售 788 萬,建築面積 : 1025呎@7688,實用面積: 756呎@10423
石澳,"售 6,000 萬",建築面積 : --,實用面積: 2363呎@25391
將軍澳,售 728 萬,建築面積 : --,實用面積: 499呎@14589
奧運,"售 1,090 萬",建築面積 : --,實用面積: 541呎@20148
大埔,售 555 萬,建築面積 : 700呎@7928,實用面積: --
觀塘,售 400 萬,建築面積 : 846呎@4728,實用面積: --
觀塘,售 305 萬,建築面積 : 484呎@6301,實用面積: --
奧運,售 928 萬,建築面積 : --,實用面積: 478呎@19414
深水埗,售 830 萬,建築面積 : --,實用面積: 363呎@22865
奧運,"售 1,230 萬",建築面積 : --,實用面積: 605呎@20331
奧運,售 838 萬,建築面積 : --,實用面積: 464呎@18060
奧運,售 980 萬,建築面積 : --,實用面積: 449呎@21826
深井(屯門),售 720 萬,建築面積 : 719呎@10014,實用面積: 549呎@13115
荔枝角,售 800 萬,建築面積 : 793呎@10088,實用面積: --
灣仔,"售 1,180 萬",建築面積 : --,實用面積: 444呎@26577
大圍,"售 2,388 萬",建築面積 : 2040呎@11705,實用面積: 1504呎@15878
深井(屯門),售 750 萬,建築面積 : 1008呎@7440,實用面積: 702呎@10684
大圍,"售 1,288 萬",建築面積 : 964呎@13361,實用面積: 725呎@17766
藍田,"售 1,030 萬",建築面積 : --,實用面積: 687呎@14993
藍田,售 760 萬,建築面積 : --,實用面積: 517呎@14700
深井(荃灣),售 708 萬,建築面積 : 669呎@10583,實用面積: 521呎@13589
沙田,售 728 萬,建築面積 : --,實用面積: 650呎@11200
將軍澳,"售 1,070 萬",建築面積 : --,實用面積: 750呎@14267
天水圍,售 525 萬,建築面積 : 709呎@7405,實用面積: 546呎@9615
沙田,售 750 萬,建築面積 : 718呎@10445,實用面積: 547呎@13711
將軍澳,售 518 萬,建築面積 : --,實用面積: 610呎@8492
元朗,"售 1,230 萬",建築面積 : --,實用面積: 948呎@12975
深水埗,"售 1,240 萬",建築面積 : --,實用面積: 708呎@17514
元朗,售 680 萬,建築面積 : --,實用面積: 475呎@14316
灣仔,售 615 萬,建築面積 : 549呎@11202,實用面積: 365呎@16849
火炭,售 655 萬,建築面積 : 700呎@9357,實用面積: --
馬鞍山,售 796 萬,建築面積 : 633呎@12575,實用面積: 463呎@17192
西貢,售 625 萬,建築面積 : 801呎@7802,實用面積: 664呎@9413
土瓜灣,售 660 萬,建築面積 : --,實用面積: 348呎@18966
紅磡,售 718 萬,建築面積 : 650呎@11046,實用面積: 495呎@14505
堅尼地城,售 628 萬,建築面積 : 430呎@14605,實用面積: 344呎@18256
將軍澳,售 928 萬,建築面積 : --,實用面積: 633呎@14660
新蒲崗,售 988 萬,建築面積 : --,實用面積: 511呎@19335
馬鞍山,售 338 萬,建築面積 : --,實用面積: 485呎@6969
荃灣,售 680 萬,建築面積 : 715呎@9510,實用面積: 579呎@11744
馬鞍山,售 829 萬,建築面積 : 722呎@11481,實用面積: 513呎@16160
鰂魚涌,售 760 萬,建築面積 : 584呎@13014,實用面積: 484呎@15702
馬鞍山,售 880 萬,建築面積 : 897呎@9810,實用面積: 696呎@12644
九龍灣,售 350 萬,建築面積 : 581呎@6024,實用面積: 517呎@6770
馬鞍山,"售 1,420 萬",建築面積 : 1257呎@11296,實用面積: 953呎@14900
粉嶺,售 488 萬,建築面積 : 510呎@9568,實用面積: 370呎@13189
土瓜灣,"售 1,198 萬",建築面積 : 951呎@12597,實用面積: 778呎@15398
馬鞍山,"售 1,100 萬",建築面積 : 1089呎@10101,實用面積: 814呎@13514
將軍澳,售 735 萬,建築面積 : --,實用面積: 463呎@15875
將軍澳,售 750 萬,建築面積 : 581呎@12909,實用面積: 437呎@17162
將軍澳,售 590 萬,建築面積 : 554呎@10650,實用面積: 495呎@11919
灣仔,"售 1,175 萬",建築面積 : --,實用面積: 444呎@26464
屯門,售 410 萬,建築面積 : 431呎@9513,實用面積: 325呎@12615
將軍澳,售 768 萬,建築面積 : --,實用面積: 604呎@12715
何文田,"售 1,270 萬",建築面積 : --,實用面積: 713呎@17812
觀塘,售 350 萬,建築面積 : --,實用面積: 289呎@12111
元朗,售 950 萬,建築面積 : 1189呎@7990,實用面積: 902呎@10532
土瓜灣,售 538 萬,建築面積 : 417呎@12901,實用面積: 325呎@16554
元朗,售 728 萬,建築面積 : --,實用面積: 443呎@16433
土瓜灣,售 680 萬,建築面積 : --,實用面積: 340呎@20000
大埔,"售 1,268 萬",建築面積 : 1285呎@9868,實用面積: 992呎@12782
荃灣,售 525 萬,建築面積 : 546呎@9615,實用面積: 480呎@10938
屯門,售 618 萬,建築面積 : 750呎@8240,實用面積: 603呎@10249
元朗,"售 1,050 萬",建築面積 : --,實用面積: 705呎@14894
荃灣,售 460 萬,建築面積 : --,實用面積: 306呎@15033
元朗,售 668 萬,建築面積 : --,實用面積: 598呎@11171
荃灣,售 545 萬,建築面積 : --,實用面積: 362呎@15055
鑽石山,售 938 萬,建築面積 : 656呎@14298,實用面積: 517呎@18143
長沙灣,售 610 萬,建築面積 : --,實用面積: 410呎@14878
深井(屯門),售 750 萬,建築面積 : 1008呎@7440,實用面積: 702呎@10684
大埔,"售 1,240 萬",建築面積 : 1163呎@10662,實用面積: 986呎@12576
屯門,售 508 萬,建築面積 : 599呎@8480,實用面積: 451呎@11264
堅尼地城,"售 2,038 萬",建築面積 : 1080呎@18870,實用面積: 818呎@24914
青衣,售 598 萬,建築面積 : 700呎@8542,實用面積: --
大埔,售 495 萬,建築面積 : 431呎@11485,實用面積: 355呎@13944
沙田,售 495 萬,建築面積 : 535呎@9252,實用面積: 404呎@12252
上水,"售 3,600 萬",建築面積 : 3217呎@11191,實用面積: 1851呎@19449
上水,售 380 萬,建築面積 : 526呎@7224,實用面積: 394呎@9645
荔枝角,售 82 萬,建築面積 : 138呎@5942,實用面積: --
大埔,售 530 萬,建築面積 : 534呎@9925,實用面積: 394呎@13452
美孚,售 810 萬,建築面積 : --,實用面積: 535呎@15140
元朗,售 608 萬,建築面積 : 527呎@11537,實用面積: 393呎@15471
牛池灣,售 399 萬,建築面積 : --,實用面積: 554呎@7202
沙田,售 568 萬,建築面積 : --,實用面積: 517呎@10986
葵涌,"售 1,654 萬",建築面積 : 1438呎@11500,實用面積: --
大埔,售 495 萬,建築面積 : 428呎@11565,實用面積: 343呎@14431
大埔,售 570 萬,建築面積 : 484呎@11777,實用面積: 379呎@15040
深水埗,售 448 萬,建築面積 : --,實用面積: 282呎@15887
上水,售 495 萬,建築面積 : 468呎@10577,實用面積: 351呎@14103
大埔,"售 1,380 萬",建築面積 : 1599呎@8630,實用面積: 1281呎@10773
觀塘,售 780 萬,建築面積 : --,實用面積: 614呎@12704
大埔,售 528 萬,建築面積 : 446呎@11839,實用面積: 342呎@15439
粉嶺,售 443 萬,建築面積 : 700呎@6328,實用面積: --
深井(屯門),售 720 萬,建築面積 : 719呎@10013,實用面積: 549呎@13115
新蒲崗,售 948 萬,建築面積 : 691呎@13719,實用面積: 533呎@17786
沙田,售 508 萬,建築面積 : 735呎@6911,實用面積: 516呎@9845
沙田,售 750 萬,建築面積 : 525呎@14286,實用面積: 401呎@18703
啟德,售 818 萬,建築面積 : --,實用面積: 457呎@17899
荃灣,"售 1,388 萬",建築面積 : 972呎@14280,實用面積: 728呎@19066
奧運,"售 1,068 萬",建築面積 : 645呎@16558,實用面積: 473呎@22579
荃灣,"售 1,250 萬",建築面積 : 1358呎@9204,實用面積: 1039呎@12031
荃灣,"售 1,635 萬",建築面積 : 1097呎@14904,實用面積: 826呎@19794
馬鞍山,售 270 萬,建築面積 : --,實用面積: 443呎@6095
長沙灣,售 358 萬,建築面積 : --,實用面積: 193呎@18549
大圍,售 480 萬,建築面積 : --,實用面積: 381呎@12598
鑽石山,售 590 萬,建築面積 : 521呎@11324,實用面積: 383呎@15405
鑽石山,售 520 萬,建築面積 : 497呎@10463,實用面積: 424呎@12264
牛池灣,售 592 萬,建築面積 : 680呎@8706,實用面積: 568呎@10423
銅鑼灣,"售 1,600 萬",建築面積 : --,實用面積: 1008呎@15873
堅尼地城,售 980 萬,建築面積 : --,實用面積: 483呎@20290
荔枝角,售 132 萬,建築面積 : 195呎@6769,實用面積: --
太子,售 610 萬,建築面積 : --,實用面積: 324呎@18827
葵涌,售 900 萬,建築面積 : 3000呎@3000,實用面積: --
長沙灣,售 268 萬,建築面積 : --,實用面積: 143呎@18741
鑽石山,售 520 萬,建築面積 : 480呎@10833,實用面積: 353呎@14731
大埔,售 438 萬,建築面積 : 700呎@6257,實用面積: --
火炭,"售 1,498 萬",建築面積 : 1236呎@12120,實用面積: 1041呎@14390
大埔,"售 1,298 萬",建築面積 : --,實用面積: 993呎@13072
屯門,售 518 萬,建築面積 : 642呎@8068,實用面積: 508呎@10197
馬鞍山,售 999 萬,建築面積 : 776呎@12873,實用面積: 600呎@16650
紅磡,售 738 萬,建築面積 : 481呎@15343,實用面積: 384呎@19219
東涌,售 544 萬,建築面積 : --,實用面積: 380呎@14311
屯門,售 610 萬,建築面積 : --,實用面積: 603呎@10116
粉嶺,"售 1,400 萬",建築面積 : 2032呎@6890,實用面積: 1315呎@10646
粉嶺,售 490 萬,建築面積 : 470呎@10426,實用面積: 365呎@13425
粉嶺,售 925 萬,建築面積 : --,實用面積: 720呎@12847
沙田,售 620 萬,建築面積 : 452呎@13717,實用面積: 347呎@17867
馬鞍山,售 880 萬,建築面積 : 807呎@10904,實用面積: 650呎@13538
灣仔,"售 1,390 萬",建築面積 : --,實用面積: 532呎@26128
佐敦,售 485 萬,建築面積 : --,實用面積: 565呎@8584
沙田,"售 1,180 萬",建築面積 : 1063呎@11100,實用面積: 836呎@14115
紅磡,售 973 萬,建築面積 : 770呎@12636,實用面積: 590呎@16492
太古城,售 938 萬,建築面積 : 585呎@16034,實用面積: 489呎@19182
沙田,售 720 萬,建築面積 : 826呎@8716,實用面積: 645呎@11163
西半山,"售 1,598 萬",建築面積 : 989呎@16157,實用面積: 783呎@20409
屯門,售 366 萬,建築面積 : 466呎@7854,實用面積: 404呎@9059
旺角,售 658 萬,建築面積 : --,實用面積: 389呎@16915
大圍,"售 1,048 萬",建築面積 : 903呎@11605,實用面積: 677呎@15480
荃灣,售 748 萬,建築面積 : 608呎@12303,實用面積: 450呎@16622
荃灣,售 718 萬,建築面積 : 715呎@10042,實用面積: 578呎@12422
馬鞍山,"售 1,150 萬",建築面積 : 917呎@12540,實用面積: 687呎@16739
將軍澳,售 730 萬,建築面積 : 546呎@13370,實用面積: 406呎@17980
灣仔,售 660 萬,建築面積 : --,實用面積: 423呎@15603
荃灣,售 528 萬,建築面積 : 531呎@9943,實用面積: 468呎@11282
觀塘,售 550 萬,建築面積 : --,實用面積: 480呎@11458
馬鞍山,售 775 萬,建築面積 : 655呎@11832,實用面積: 488呎@15881
藍田,售 930 萬,建築面積 : 785呎@11847,實用面積: 612呎@15196
土瓜灣,售 998 萬,建築面積 : --,實用面積: 552呎@18080
大角咀,售 393 萬,建築面積 : --,實用面積: 262呎@15000
荃灣,售 525 萬,建築面積 : 546呎@9615,實用面積: 480呎@10938
藍田,售 963 萬,建築面積 : 783呎@12298,實用面積: 614呎@15684
大埔,售 628 萬,建築面積 : 570呎@11018,實用面積: 435呎@14437
土瓜灣,售 638 萬,建築面積 : 507呎@12583,實用面積: 426呎@14977
鰂魚涌,售 680 萬,建築面積 : 474呎@14345,實用面積: 391呎@17391
大埔,"售 1,000 萬",建築面積 : --,實用面積: 700呎@14286
土瓜灣,售 568 萬,建築面積 : 444呎@12792,實用面積: 372呎@15269
荃灣,售 950 萬,建築面積 : 846呎@11229,實用面積: 741呎@12821
觀塘,售 585 萬,建築面積 : --,實用面積: 365呎@16027
土瓜灣,"售 1,148 萬",建築面積 : --,實用面積: 773呎@14851
葵涌,"售 1,380 萬",建築面積 : 1409呎@9794,實用面積: 1086呎@12707
上水,售 490 萬,建築面積 : 700呎@7000,實用面積: --
土瓜灣,售 720 萬,建築面積 : 522呎@13793,實用面積: 375呎@19200
馬鞍山,售 920 萬,建築面積 : --,實用面積: 509呎@18075
馬鞍山,售 920 萬,建築面積 : --,實用面積: 509呎@18075
馬鞍山,售 690 萬,建築面積 : 609呎@11330,實用面積: 482呎@14315
北角,"售 1,038 萬",建築面積 : 734呎@14141,實用面積: 509呎@20393
啟德,"售 5,500 萬",建築面積 : --,實用面積: 1216呎@45230
大埔,售 318 萬,建築面積 : 577呎@5511,實用面積: 445呎@7146
葵涌,售 390 萬,建築面積 : 1422呎@2742,實用面積: --
奧運,"售 3,200 萬",建築面積 : --,實用面積: 1256呎@25478
奧運,售 998 萬,建築面積 : --,實用面積: 449呎@22227
元朗,售 970 萬,建築面積 : --,實用面積: 615呎@15772
鰂魚涌,售 398 萬,建築面積 : 221呎@18009,實用面積: 168呎@23690
銅鑼灣,"售 2,580 萬",建築面積 : 1600呎@16125,實用面積: 1330呎@19398
大埔,售 528 萬,建築面積 : 471呎@11210,實用面積: 355呎@14873
馬鞍山,售 720 萬,建築面積 : 635呎@11339,實用面積: 482呎@14938
馬鞍山,售 778 萬,建築面積 : 699呎@11130,實用面積: 523呎@14876
馬鞍山,售 450 萬,建築面積 : 585呎@7692,實用面積: 427呎@10539
